,greek_council,organization,city,state,country,percent_Frlunch,hspubpriv,domint,hsboardday,hsreligion,hsgender,hstuition,sports,scholarship,greek
1575,None,None,New Delhi,NA,India,NA,public,International,Day,Unafilliated,Co-Ed,992.25,None,None,0
1584,None,None,Singapore,NA,Singapore,NA,public,International,Day,Unafilliated,Co-Ed,2708.82,None,None,0
1582,None,None,Singapore,NA,Singapore,NA,public,International,Day,Unafilliated,Co-Ed,2708.82,None,None,0
10,None,None,Wuxi,NA,China,NA,private,International,Day,Unafilliated,All-Boys,3165.54,None,None,0
11,None,None,Coogee,NA,Australia,NA,private,International,Day,Catholic,All-Boys,4699.46,None,Robertson,0
14,None,None,Yazoo City,Mississippi,United States,NA,private,Domestic,Day,Inter-/Non-denominational,Co-Ed,5508,None,None,0
15,None,None,Fort Mill,South Carolina,United States,NA,private,Domestic,Day,Pentecostal,Co-Ed,5555,None,None,0
1587,None,None,Essex Junction,Vermont,United States,NA,public,Domestic,Day,Unafilliated,Co-Ed,7416.48,None,None,0
31,Fraternity,Kappa Sigma,Bronx,New York,United States,NA,private,Domestic,Day,Catholic,All-Boys,8300,None,None,1
52,None,None,Lewis Center,Ohio,United States,NA,private,Domestic,Day,Catholic,All-Boys,10195,None,None,0
58,None,None,Escazu,NA,Costa Rica,NA,private,International,Day,Unafilliated,Co-Ed,10750,None,None,0
72,Sorority,Kappa Kappa Gamma,Milwaukee,Wisconsin,United States,NA,private,Domestic,Day,Catholic,All-Girls,12580,Women's Soccer,None,1
78,None,None,Bloomfield Hills,Michigan,United States,NA,private,Domestic,Day,Catholic,Co-Ed,12800,None,None,0
91,None,None,Franklin Park,New Jersey,United States,NA,private,Domestic,Day,Catholic,Co-Ed,13500,None,None,0
97,None,None,Alpharetta,Georgia,United States,NA,private,Domestic,Day,Catholic,Co-Ed,14170,Baseball,None,0
99,None,None,Cary,North Carolina,United States,NA,private,Domestic,Day,Catholic,Co-Ed,14340,None,None,0
100,None,None,Raleigh,North Carolina,United States,NA,private,Domestic,Day,Catholic,Co-Ed,14340,None,None,0
1599,None,None,Bundang-gu,NA,South Korea,NA,private,International,Boarding,Unafilliated,Co-Ed,15000,None,None,0
1604,None,None,Ludhiana,NA,India,NA,private,International,Boarding,Unafilliated,All-Boys,15258.1,None,None,0
126,Sorority,Zeta Tau Alpha,Paradise Valley,Arizona,United States,NA,private,Domestic,Day,Catholic,Co-Ed,15980,None,None,1
131,None,None,Seoul,NA,South Korea,NA,private,International,Day,Unafilliated,Co-Ed,16479.66,None,None,0
136,Sorority,Zeta Tau Alpha,San Jose,California,United States,NA,private,Domestic,Day,Catholic,Co-Ed,17370,None,None,1
137,None,None,Los Altos,California,United States,NA,private,Domestic,Day,Catholic,Co-Ed,17370,None,None,0
141,None,None,Fremont,California,United States,NA,private,Domestic,Day,Catholic,All-Girls,17930,None,None,0
151,None,None,Cowpens,South Carolina,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,18636,None,None,0
152,None,None,Atlanta,Georgia,United States,NA,private,Domestic,Day,Catholic,Co-Ed,18650,Baseball,None,0
157,Sorority,Kappa Kappa Gamma,Tampa,Florida,United States,NA,private,Domestic,Day,Catholic,Co-Ed,19150,None,None,1
160,Fraternity,Kappa Alpha Order,Huntsville,Alabama,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,19490,None,None,1
184,Sorority,Delta Delta Delta,Wakefield,Massachusetts,United States,NA,private,Domestic,Day,Catholic,Co-Ed,20100,None,None,1
221,Sorority,Kappa Alpha Theta,Raleigh,North Carolina,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,22400,None,None,1
227,None,None,Franklin,Tennessee,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,22506,None,None,0
232,None,None,Raleigh,North Carolina,United States,NA,private,Domestic,Day,Inter-/Non-denominational,Co-Ed,22650,None,None,0
235,None,None,Albuquerque,New Mexico,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,22870,None,None,0
241,Fraternity,Kappa Alpha Order,San Antonio,Texas,United States,NA,private,Domestic,Day,Episcopal,Co-Ed,23450,None,None,1
242,Fraternity,Alpha Tau Omega,San Antonio,Texas,United States,NA,private,Domestic,Day,Episcopal,Co-Ed,23450,None,None,1
245,Sorority,Pi Beta Phi,Paris,NA,France,NA,private,International,Day,Unafilliated,Co-Ed,23508.46,None,None,1
250,None,None,Yokohama,NA,Japan,NA,private,International,Day,Unafilliated,Co-Ed,23717.5,None,None,0
252,None,None,Hong Kong,NA,Hong Kong,NA,private,International,Day,Unafilliated,Co-Ed,23988.24,None,None,0
264,None,None,Chapel Hill,North Carolina,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,24040,Rowing,None,0
255,Fraternity,Sigma Alpha Epsilon,Durham,North Carolina,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,24040,None,None,1
280,None,None,Paradise Valley,Arizona,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,25000,None,None,0
285,None,None,Mequon,Wisconsin,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,25123,None,None,0
287,None,None,Houston,Texas,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,25387,None,None,0
291,Fraternity,Delta Sigma Phi,Duluth,Georgia,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,25800,Men's Soccer,None,1
295,None,None,Gyeonggi-do,NA,South Korea,NA,private,International,Day,Inter-/Non-denominational,Co-Ed,25819.75,None,None,0
298,None,None,Atlanta,Georgia,United States,NA,private,Domestic,Day,Jewish,Co-Ed,26000,None,None,0
310,None,None,Atlanta,Georgia,United States,NA,private,Domestic,Day,Inter-/Non-denominational,Co-Ed,26815,None,None,0
319,None,None,Houston,Texas,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,27545,Men's Basketball,None,0
334,None,None,Cockeysville,Maryland,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,28960,None,None,0
339,Sorority,Kappa Kappa Gamma,Dallas,Texas,United States,NA,private,Domestic,Day,Unafilliated,All-Girls,29000,None,None,1
348,Fraternity,Kappa Alpha Order,Dallas,Texas,United States,NA,private,Domestic,Day,Episcopal,All-Boys,29496,None,None,1
355,Sorority,Zeta Tau Alpha,Pasadena,Maryland,United States,NA,private,Domestic,Day,Unafilliated,All-Girls,30710,None,None,1
362,Sorority,Gamma Phi Beta,Plano,Texas,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,30750,None,None,1
375,None,None,Irvine,California,United States,NA,private,International,Day,Unafilliated,Co-Ed,31424.07,None,None,0
384,Sorority,Gamma Phi Beta,Potomac,Maryland,United States,NA,private,Domestic,Day,Catholic,All-Girls,32300,None,None,1
385,None,None,Sao Paulo,NA,Brazil,NA,private,International,Day,Unafilliated,Co-Ed,32392.12,None,None,0
390,None,None,Bloomfield Hills,Michigan,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,33100,Men's Lacrosse,None,0
396,None,None,San Diego,California,United States,NA,private,Domestic,Day,Episcopal,Co-Ed,33800,Men's Lacrosse,None,0
408,Fraternity,Sigma Alpha Epsilon,Los Angeles,California,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,35900,None,None,1
420,None,None,Bloomfield,New Jersey,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,37270,None,None,0
426,Sorority,Pi Beta Phi,Los Angeles,California,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,37725,None,None,1
434,None,None,Newtown Square,Pennsylvania,United States,NA,private,Domestic,Day,Unafilliated,All-Boys,38000,None,None,0
436,Sorority,Alpha Phi,Paris,NA,France,NA,private,International,Day,Unafilliated,Co-Ed,38118.13,Women's Fencing,None,1
446,None,None,Bethesda,Maryland,United States,NA,private,Domestic,Day,Quaker,Co-Ed,39360,None,None,0
458,Fraternity,Delta Sigma Phi,Den Haag,NA,Netherlands,NA,private,International,Day,Unafilliated,Co-Ed,40166.83,None,None,1
464,Fraternity,Alpha Tau Omega,Greenwich,Connecticut,United States,NA,private,Domestic,Day,Unafilliated,All-Boys,40450,None,None,1
466,Sorority,Alpha Delta Pi,Windsor,California,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,41400,None,None,1
467,Sorority,Pi Beta Phi,Greenwich,Connecticut,United States,NA,private,Domestic,Day,Unafilliated,All-Girls,41890,None,None,1
480,Sorority,Pi Beta Phi,New York City,New York,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,42805,None,None,1
484,Sorority,Delta Delta Delta,New York City,New York,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,42805,None,None,1
488,None,None,Hillsborough,California,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,42830,Women's Track,None,0
502,None,None,Cupertino,California,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,45877,None,None,0
514,Fraternity,Delta Sigma Phi,New York City,New York,United States,NA,private,Domestic,Day,Episcopal,Co-Ed,47965,None,None,1
521,None,None,Princeton,New Jersey,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,51440,None,None,0
1641,Sorority,Delta Delta Delta,New Canaan,Connecticut,United States,NA,private,Domestic,Boarding,Episcopal,Co-Ed,56460,None,None,1
1650,None,None,Germantown,Maryland,United States,NA,private,Domestic,Boarding,Episcopal,Co-Ed,57000,None,None,0
1654,Fraternity,Kappa Sigma,Middletown,Delaware,United States,NA,private,Domestic,Boarding,Episcopal,Co-Ed,57000,None,None,1
1657,None,None,Busan,NA,South Korea,NA,private,Domestic,Boarding,Episcopal,Co-Ed,57500,None,None,0
1659,None,None,Gyeonggi-do,NA,South Korea,NA,private,Domestic,Boarding,Unafilliated,Co-Ed,57785,None,None,0
1675,Fraternity,Sigma Nu,Fairfield,Connecticut,United States,NA,private,Domestic,Boarding,Unafilliated,Co-Ed,62190,None,None,1
1680,Sorority,Alpha Phi,London,NA,United Kingdom,NA,private,International,Boarding,Unafilliated,Co-Ed,118660.78,None,None,1