Manufacturer,Model,price,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency
Chevrolet,Metro,9235,1,55,93.1,62.6,149.4,1.895,10.3,45
Hyundai,Accent,9699,1.5,92,96.1,65.7,166.7,2.24,11.9,31
Mitsubishi,Mirage,13987,1.8,113,98.4,66.5,173.6,2.25,13.2,30
Saturn,SL,10685,1.9,100,102.4,66.4,176.9,2.332,12.1,33
Honda,Civic,12885,1.6,106,103.2,67.1,175.1,2.339,11.9,32
Saturn,SC,12535,1.9,100,102.4,66.4,180,2.367,12.1,33
Chevrolet,Prizm,13960,1.8,120,97.1,66.7,174.3,2.398,13.2,33
Toyota,Corolla,13108,1.8,120,97,66.7,174,2.42,13.2,33
Toyota,Celica,16875,1.8,140,102.4,68.3,170.5,2.425,14.5,31
Saturn,SW,14290,1.9,124,102.4,66.4,176.9,2.452,12.1,31
Ford,Escort,12070,2,110,98.4,67,174.7,2.468,12.7,30
Plymouth,Neon,12640,2,132,105,74.4,174.4,2.559,12.5,29
Ford,Focus,12315,2,107,103,66.9,174.8,2.564,13.2,30
Dodge,Neon,12640,2,132,105,74.4,174.4,2.567,12.5,29
Toyota,Tacoma,11528,2.4,142,103.3,66.5,178.7,2.58,15.1,23
Nissan,Sentra,13499,1.8,126,99.8,67.3,177.5,2.593,13.2,30
Hyundai,Elantra,11799,2,140,100.4,66.9,174,2.626,14.5,27
Acura,Integra,21500,1.8,140,101.2,67.3,172.4,2.639,13.2,28
Toyota,RAV4,16888,2,127,94.9,66.7,163.8,2.668,15.3,27
Chevrolet,Cavalier,13260,2.2,115,104.1,67.9,180.9,2.676,14.3,27
Volkswagen,GTI,17500,2,115,98.9,68.3,163.3,2.762,14.6,26
Volkswagen,Golf,14900,2,115,98.9,68.3,163.3,2.767,14.5,26
Volkswagen,Beetle,15900,2,115,98.9,67.9,161.1,2.769,14.5,26
Ford,Contour,17035,2.5,170,106.5,69.1,184.6,2.769,15,25
Mercury,Mystique,16240,2,125,106.5,69.1,184.8,2.769,15,28
Porsche,Boxter,41430,2.7,217,95.2,70.1,171,2.778,17,22
Plymouth,Prowler,43000,3.5,253,113.3,76.3,165.4,2.85,12,21
Volkswagen,Jetta,16700,2,115,98.9,68.3,172.3,2.853,14.5,26
Dodge,Avenger,19045,2.5,163,103.7,69.1,190.2,2.879,15.9,24
Mercury,Cougar,16540,2,125,106.4,69.6,185,2.892,16,30
Pontiac,Sunfire,21610,2.4,150,104.1,68.4,181.9,2.906,15,27
Saturn,LS,15010,2.2,137,106.5,69,190.4,2.91,13.1,28
Mitsubishi,Eclipse,19047,2.4,154,100.8,68.9,175.4,2.91,15.9,24
Chrysler,Cirrus,16480,2,132,108,71,186,2.911,16,27
Honda,Accord,15350,2.3,135,106.9,70.3,188.8,2.932,17.1,27
Plymouth,Breeze,16080,2,132,108,71,186.3,2.942,16,27
Mitsubishi,Galant,17357,2.4,145,103.7,68.5,187.8,2.945,16.3,25
Oldsmobile,Alero,18270,2.4,150,107,70.1,186.7,2.958,15,27
Chrysler,Sebring Coupe,19840,2.5,163,103.7,69.7,190.9,2.967,15.9,24
Mercedes-B,SLK230,41000,2.3,185,94.5,67.5,157.3,2.975,14,27
Saab,3-Sep,26100,2,185,102.6,67.4,182.2,2.99,16.9,23
Volvo,S40,23400,1.9,160,100.5,67.6,176.6,2.998,15.8,25
Audi,A4,23990,1.8,150,102.6,68.2,178,2.998,16.4,27
Toyota,Camry,17518,2.2,133,105.2,70.1,188.5,2.998,18.5,27
Nissan,Altima,20390,2.4,155,103.1,69.1,183.5,3.012,15.9,25
Porsche,Carrera Coupe,71020,3.4,300,92.6,69.5,174.5,3.032,17,21
Volvo,V40,24400,1.9,160,100.5,67.6,176.6,3.042,15.8,25
Volkswagen,Passat,21200,1.8,150,106.4,68.5,184.1,3.043,16.4,27
Jeep,Wrangler,14460,2.5,120,93.4,66.7,152,3.045,19,17
Chevrolet,Malibu,16535,3.1,170,107,69.4,190.4,3.051,15,25
Mercedes-B,SLK,38900,2.3,190,94.5,67.5,157.9,3.055,15.9,26
Dodge,Stratus,20230,2.5,168,108,71,186,3.058,16,24
Hyundai,Sonata,14999,2.4,148,106.3,71.6,185.4,3.072,17.2,25
Saturn,LW,18835,2.2,137,106.5,69,190.4,3.075,13.1,27
Porsche,Carrera Cabrio,74970,3.4,300,92.6,69.5,174.5,3.075,17,23
Volkswagen,Cabrio,19990,2,115,97.4,66.7,160.4,3.079,13.7,26
Ford,Ranger,12050,2.5,119,117.5,69.4,200.7,3.086,20,23
Pontiac,Grand Am,19720,3.4,175,107,70.4,186.3,3.091,15.2,25
Oldsmobile,Cutlass,18145,3.1,150,107,69.4,192,3.102,15.2,25
Subaru,Forester,20095,2.5,165,99.4,68.3,175.2,3.125,15.9,24
Mitsubishi,3000GT,25450,3,161,97.2,72.4,180.3,3.131,19.8,21
BMW,323i,26990,2.5,170,107.3,68.4,176,3.179,16.6,26
Jeep,Cherokee,21620,4,190,101.4,69.4,167.5,3.194,20,20
BMW,328i,33400,2.8,193,107.3,68.5,176,3.197,16.6,24
Ford,Mustang,21560,3.8,190,101.3,73.1,183.2,3.203,15.7,24
Volvo,S70,27500,2.4,168,104.9,69.3,185.9,3.208,17.9,25
Chevrolet,Corvette,45705,5.7,345,104.5,73.6,179.7,3.21,19.1,22
Mercedes-B,CLK Coupe,41600,3.2,215,105.9,67.8,180.3,3.213,16.4,26
Nissan,Frontier,17890,3.3,170,116.1,66.5,196.1,3.217,19.4,18
Honda,CR-V,20550,2,146,103.2,68.9,177.6,3.219,15.3,24
Mercedes-B,C-Class,31750,2.3,185,105.9,67.7,177.4,3.25,16.4,26
Volvo,V70,28800,2.4,168,104.9,69.3,186.2,3.259,17.9,25
Saab,5-Sep,33120,2.3,170,106.4,70.6,189.2,3.28,18.5,23
Nissan,Maxima,26249,3,222,108.3,70.3,190.5,3.294,18.5,25
Chevrolet,Lumina,18890,3.1,175,107.5,72.5,200.9,3.33,16.6,25
Chrysler,Sebring Conv.,24495,2.5,168,106,69.2,193,3.332,16,24
Chevrolet,Monte Carlo,19390,3.4,180,110.5,72.7,197.9,3.34,17,27
Infiniti,I30,29465,3,227,108.3,70.2,193.7,3.342,18.5,25
Ford,Taurus,17885,3,155,108.5,73,197.6,3.368,16,24
Buick,Century,21975,3.1,175,109,72.7,194.6,3.368,17.5,25
Lexus,ES300,31505,3,210,105.1,70.5,190.2,3.373,18.5,23
Dodge,Viper,69725,8,450,96.2,75.7,176.7,3.375,19,16
Mercury,Sable,19035,3,153,108.5,73,199.7,3.379,16,24
Chevrolet,Impala,18890,3.4,180,110.5,73,200,3.389,17,27
Pontiac,Grand Prix,21665,3.8,195,110.5,72.7,196.5,3.396,18,25
Subaru,Outback,22695,2.5,165,103.5,67.5,185.8,3.415,16.9,25
Toyota,Avalon,25545,3,210,107.1,71.7,191.9,3.417,18.5,26
Toyota,4Runner,22288,2.7,150,105.3,66.5,183.3,3.44,18.5,23
Mitsubishi,Diamante,24997,3.5,210,107.1,70.3,194.1,3.443,19,22
Chrysler,Concorde,22245,2.7,200,113,74.4,209.1,3.452,17,26
BMW,528i,38900,2.8,193,111.4,70.9,188,3.472,18.5,25
Pontiac,Firebird,25310,3.8,200,101.1,74.5,193.4,3.492,16.8,25
Chevrolet,Camaro,24340,3.8,200,101.1,74.1,193.2,3.5,16.8,25
Mitsubishi,Montero Sport,22527,3,173,107.3,66.7,178.3,3.51,19.5,20
Acura,TL,28400,3.2,225,108.1,70.3,192.9,3.517,17.2,25
Plymouth,Voyager,18850,2.4,150,113.3,76.8,186.3,3.528,20,24
Dodge,Caravan,19565,2.4,150,113.3,76.8,186.3,3.533,20,24
Buick,Regal,25300,3.8,240,109,72.7,196.2,3.543,17.5,23
Dodge,Dakota,16980,2.5,120,131,71.5,215,3.557,22,19
Audi,A6,33950,2.8,200,108.7,76.1,192,3.561,18.5,22
Chrysler,LHS,28340,3.5,253,113,74.4,207.7,3.564,17,23
Chrysler,300M,29185,3.5,253,113,74.4,197.8,3.567,17,23
Pontiac,Bonneville,23755,3.8,205,112.2,72.6,202.5,3.59,17.5,24
Buick,LeSabre,27885,3.8,205,112.2,73.5,200,3.591,17.5,25
Volvo,S80,36000,2.9,201,109.9,72.1,189.8,3.6,21.1,24
Volvo,C70,45500,2.3,236,104.9,71.5,185.7,3.601,18.5,23
Lexus,GS300,37805,3,225,110.2,70.9,189.2,3.638,19.8,23
Jaguar,S-Type,42800,3,240,114.5,71.6,191.3,3.65,18.4,21
Lexus,GS400,46305,4,300,110.2,70.9,189.2,3.693,19.8,21
Toyota,Sienna,22368,3,194,114.2,73.4,193.5,3.759,20.9,22
Ford,Windstar,21410,3,150,120.7,76.6,200.9,3.761,26,21
Cadillac,Catera,31010,3,200,107.4,70.3,194.8,3.77,18,22
Buick,Park Avenue,31965,3.8,205,113.8,74.7,206.8,3.778,18.5,24
Nissan,Xterra,22799,3.3,170,104.3,70.4,178,3.821,19.4,18
Mercedes-B,E-Class,49900,3.2,221,111.5,70.8,189.4,3.823,21.1,25
Cadillac,Eldorado,39665,4.6,275,108,75.5,200.6,3.843,19,22
Acura,RL,42000,3.5,210,114.6,71.4,196.6,3.85,18,22
Honda,Passport,26600,3.2,205,106.4,70.4,178.2,3.857,21.1,19
Lincoln,Continental,39080,4.6,275,109,73.6,208.5,3.868,20,22
Mercury,Mountaineer,27560,4,210,111.6,70.2,190.1,3.876,21,18
Ford,Explorer,31930,4,210,111.6,70.2,190.7,3.876,21,19
Jeep,Grand Cherokee,26895,4,195,105.9,72.3,181.5,3.88,20.5,19
Lexus,LS400,54005,4,290,112.2,72,196.7,3.89,22.5,22
Lexus,RX300,34605,3,220,103,71.5,180.1,3.9,17.2,21
Audi,A8,62000,4.2,310,113,74,198.2,3.902,23.7,21
Ford,Crown Victoria,22195,4.6,200,114.7,78.2,212,3.908,19,21
Pontiac,Montana,25635,3.4,185,120,72.7,201.3,3.942,25,23
Mercury,Villager,22510,3.3,170,112.2,74.9,194.7,3.944,20,21
Nissan,Pathfinder,29299,3.3,170,106.3,71.7,182.6,3.947,21,19
Oldsmobile,Silhouette,25345,3.4,185,120,72.2,201.4,3.948,25,22
Mercury,Grand Marquis,22605,4.6,200,114.7,78.2,212,3.958,19,21
Oldsmobile,Aurora,36229,4,250,113.8,74.4,205.4,3.967,18.5,22
Cadillac,DeVille,39895,4.6,275,115.3,74.5,207.2,3.978,18.5,22
Nissan,Quest,26399,3.3,170,112.2,74.9,194.8,3.991,20,21
Oldsmobile,Bravada,31598,4.3,190,107,67.8,181.2,4.068,17.5,19
Mercedes-B,CL500,85500,5,302,113.6,73.1,196.6,4.115,23.2,20
Lincoln,Town car,43330,4.6,215,117.7,78.2,215.3,4.121,19,21
Mercedes-B,SL-Class,82600,5,302,99,71.3,177.1,4.125,21.1,20
Mercedes-B,S-Class,69700,4.3,275,121.5,73.1,203.1,4.133,23.2,21
Ford,F-Series,26935,4.6,220,138.5,79.1,224.5,4.241,25.1,18
Dodge,Ram Wagon,21315,3.9,175,109.6,78.8,192.6,4.245,32,15
Honda,Odyssey,26000,3.5,210,118.1,75.6,201.2,4.288,20,23
Dodge,Ram Van,18575,3.9,175,127.2,78.8,208.5,4.298,32,16
Mercedes-B,M-Class,35300,3.2,215,111,72.2,180.6,4.387,19,20
Dodge,Durango,26310,5.2,230,115.7,71.7,193.5,4.394,25,17
Dodge,Ram Pickup,19460,5.2,230,138.7,79.3,224.2,4.47,26,17
Mitsubishi,Montero,31807,3.5,200,107.3,69.9,186.6,4.52,24.3,18
Ford,Expedition,36135,4.6,240,119,78.7,204.6,4.808,26,16
Toyota,Land Cruiser,51728,4.7,230,112.2,76.4,192.5,5.115,25.4,15
Lincoln,Navigator,42660,5.4,300,119,79.9,204.8,5.393,30,15
Lexus,LX470,60105,4.7,230,112.2,76.4,192.5,5.401,25.4,15
Cadillac,Escalade,46225,5.7,255,117.5,77,201.2,5.572,30,15